company,sector,year,code,code_label,spend
Google,Tech/AI,2020,TRD,Trade Policy,30000.0
Google,Tech/AI,2020,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2020,TEC,Technology & AI,30000.0
Google,Tech/AI,2020,TRD,Trade Policy,60000.0
Google,Tech/AI,2020,TEC,Technology & AI,20000.0
Google,Tech/AI,2020,TEC,Technology & AI,45000.0
Google,Tech/AI,2020,TEC,Technology & AI,45000.0
Google,Tech/AI,2020,TRD,Trade Policy,1800000.0
Google,Tech/AI,2020,FOR,Foreign Policy,1800000.0
Google,Tech/AI,2020,TEC,Technology & AI,1800000.0
Google,Tech/AI,2020,SCI,Science & Research,1800000.0
Google,Tech/AI,2020,TEC,Technology & AI,20000.0
Google,Tech/AI,2020,TEC,Technology & AI,45000.0
Google,Tech/AI,2020,TEC,Technology & AI,30000.0
Google,Tech/AI,2020,TRD,Trade Policy,30000.0
Google,Tech/AI,2020,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2020,TEC,Technology & AI,20000.0
Google,Tech/AI,2020,TEC,Technology & AI,45000.0
Google,Tech/AI,2020,TRD,Trade Policy,60000.0
Google,Tech/AI,2020,TEC,Technology & AI,20000.0
Google,Tech/AI,2020,TRD,Trade Policy,1690000.0
Google,Tech/AI,2020,FOR,Foreign Policy,1690000.0
Google,Tech/AI,2020,TEC,Technology & AI,1690000.0
Google,Tech/AI,2020,SCI,Science & Research,1690000.0
Google,Tech/AI,2020,TEC,Technology & AI,10000.0
Google,Tech/AI,2020,TEC,Technology & AI,30000.0
Google,Tech/AI,2020,TRD,Trade Policy,30000.0
Google,Tech/AI,2020,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2020,TEC,Technology & AI,45000.0
Google,Tech/AI,2020,TEC,Technology & AI,20000.0
Google,Tech/AI,2020,FOR,Foreign Policy,1930000.0
Google,Tech/AI,2020,TEC,Technology & AI,1930000.0
Google,Tech/AI,2020,SCI,Science & Research,1930000.0
Google,Tech/AI,2020,TRD,Trade Policy,1930000.0
Google,Tech/AI,2020,TRD,Trade Policy,60000.0
Google,Tech/AI,2020,TEC,Technology & AI,10000.0
Google,Tech/AI,2020,TEC,Technology & AI,20000.0
Google,Tech/AI,2020,TEC,Technology & AI,30000.0
Google,Tech/AI,2020,TEC,Technology & AI,20000.0
Google,Tech/AI,2020,TRD,Trade Policy,30000.0
Google,Tech/AI,2020,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2020,TRD,Trade Policy,60000.0
Google,Tech/AI,2020,TEC,Technology & AI,20000.0
Google,Tech/AI,2020,FOR,Foreign Policy,2110000.0
Google,Tech/AI,2020,TEC,Technology & AI,2110000.0
Google,Tech/AI,2020,SCI,Science & Research,2110000.0
Google,Tech/AI,2020,TRD,Trade Policy,2110000.0
Google,Tech/AI,2020,TEC,Technology & AI,45000.0
Google,Tech/AI,2020,TEC,Technology & AI,20000.0
Google,Tech/AI,2020,TEC,Technology & AI,30000.0
Google,Tech/AI,2021,TEC,Technology & AI,20000.0
Google,Tech/AI,2021,TRD,Trade Policy,30000.0
Google,Tech/AI,2021,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2021,TEC,Technology & AI,20000.0
Google,Tech/AI,2021,TEC,Technology & AI,45000.0
Google,Tech/AI,2021,TEC,Technology & AI,30000.0
Google,Tech/AI,2021,TEC,Technology & AI,50000.0
Google,Tech/AI,2021,FOR,Foreign Policy,2690000.0
Google,Tech/AI,2021,TEC,Technology & AI,2690000.0
Google,Tech/AI,2021,SCI,Science & Research,2690000.0
Google,Tech/AI,2021,TRD,Trade Policy,2690000.0
Google,Tech/AI,2021,TEC,Technology & AI,45000.0
Google,Tech/AI,2021,TEC,Technology & AI,20000.0
Google,Tech/AI,2021,TRD,Trade Policy,30000.0
Google,Tech/AI,2021,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2021,TEC,Technology & AI,30000.0
Google,Tech/AI,2021,TEC,Technology & AI,45000.0
Google,Tech/AI,2021,TEC,Technology & AI,50000.0
Google,Tech/AI,2021,TRD,Trade Policy,2090000.0
Google,Tech/AI,2021,FOR,Foreign Policy,2090000.0
Google,Tech/AI,2021,TEC,Technology & AI,2090000.0
Google,Tech/AI,2021,SCI,Science & Research,2090000.0
Google,Tech/AI,2021,TEC,Technology & AI,20000.0
Google,Tech/AI,2021,TRD,Trade Policy,30000.0
Google,Tech/AI,2021,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2021,TEC,Technology & AI,30000.0
Google,Tech/AI,2021,TEC,Technology & AI,45000.0
Google,Tech/AI,2021,TRD,Trade Policy,2610000.0
Google,Tech/AI,2021,FOR,Foreign Policy,2610000.0
Google,Tech/AI,2021,TEC,Technology & AI,2610000.0
Google,Tech/AI,2021,SCI,Science & Research,2610000.0
Google,Tech/AI,2021,TEC,Technology & AI,50000.0
Google,Tech/AI,2021,TRD,Trade Policy,30000.0
Google,Tech/AI,2021,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2021,TEC,Technology & AI,30000.0
Google,Tech/AI,2021,TEC,Technology & AI,45000.0
Google,Tech/AI,2021,TEC,Technology & AI,2210000.0
Google,Tech/AI,2021,SCI,Science & Research,2210000.0
Google,Tech/AI,2021,FOR,Foreign Policy,2210000.0
Google,Tech/AI,2021,TRD,Trade Policy,2210000.0
Google,Tech/AI,2021,TEC,Technology & AI,30000.0
Google,Tech/AI,2021,TEC,Technology & AI,50000.0
Google,Tech/AI,2022,TEC,Technology & AI,30000.0
Google,Tech/AI,2022,TRD,Trade Policy,30000.0
Google,Tech/AI,2022,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2022,TEC,Technology & AI,45000.0
Google,Tech/AI,2022,TEC,Technology & AI,50000.0
Google,Tech/AI,2022,TRD,Trade Policy,2960000.0
Google,Tech/AI,2022,FOR,Foreign Policy,2960000.0
Google,Tech/AI,2022,TEC,Technology & AI,2960000.0
Google,Tech/AI,2022,SCI,Science & Research,2960000.0
Google,Tech/AI,2022,TEC,Technology & AI,20000.0
Google,Tech/AI,2022,TRD,Trade Policy,30000.0
Google,Tech/AI,2022,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2022,TEC,Technology & AI,20000.0
Google,Tech/AI,2022,TEC,Technology & AI,45000.0
Google,Tech/AI,2022,TEC,Technology & AI,50000.0
Google,Tech/AI,2022,TRD,Trade Policy,2770000.0
Google,Tech/AI,2022,FOR,Foreign Policy,2770000.0
Google,Tech/AI,2022,TEC,Technology & AI,2770000.0
Google,Tech/AI,2022,SCI,Science & Research,2770000.0
Google,Tech/AI,2022,TEC,Technology & AI,45000.0
Google,Tech/AI,2022,TRD,Trade Policy,30000.0
Google,Tech/AI,2022,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2022,TRD,Trade Policy,2470000.0
Google,Tech/AI,2022,FOR,Foreign Policy,2470000.0
Google,Tech/AI,2022,TEC,Technology & AI,2470000.0
Google,Tech/AI,2022,SCI,Science & Research,2470000.0
Google,Tech/AI,2022,TEC,Technology & AI,20000.0
Google,Tech/AI,2022,TEC,Technology & AI,50000.0
Google,Tech/AI,2022,TRD,Trade Policy,30000.0
Google,Tech/AI,2022,COM,Commerce & Export Controls,30000.0
Google,Tech/AI,2022,TEC,Technology & AI,10000.0
Google,Tech/AI,2022,TEC,Technology & AI,45000.0
Google,Tech/AI,2022,TRD,Trade Policy,2720000.0
Google,Tech/AI,2022,FOR,Foreign Policy,2720000.0
Google,Tech/AI,2022,TEC,Technology & AI,2720000.0
Google,Tech/AI,2022,SCI,Science & Research,2720000.0
Google,Tech/AI,2022,TEC,Technology & AI,50000.0
Google,Tech/AI,2023,TRD,Trade Policy,50000.0
Google,Tech/AI,2023,COM,Commerce & Export Controls,50000.0
Google,Tech/AI,2023,SCI,Science & Research,45000.0
Google,Tech/AI,2023,TEC,Technology & AI,45000.0
Google,Tech/AI,2023,TRD,Trade Policy,2820000.0
Google,Tech/AI,2023,FOR,Foreign Policy,2820000.0
Google,Tech/AI,2023,TEC,Technology & AI,2820000.0
Google,Tech/AI,2023,SCI,Science & Research,2820000.0
Google,Tech/AI,2023,TEC,Technology & AI,50000.0
Google,Tech/AI,2023,TRD,Trade Policy,50000.0
